Indicator,S.No.,Parameters,Type,SubDistrict-_South-Total [(A+B) or (C+D)],SubDistrict-_South-Public [A],SubDistrict-_South-Private [B],SubDistrict-_South-Urban [C],SubDistrict-_South-Rural [D],SubDistrict-Autonomous-Total [(A+B) or (C+D)],SubDistrict-Autonomous-Public [A],SubDistrict-Autonomous-Private [B],SubDistrict-Autonomous-Urban [C],SubDistrict-Autonomous-Rural [D],SubDistrict-CGHS-Total [(A+B) or (C+D)],SubDistrict-CGHS-Public [A],SubDistrict-CGHS-Private [B],SubDistrict-CGHS-Urban [C],SubDistrict-CGHS-Rural [D],SubDistrict-Delhi Govt-Total [(A+B) or (C+D)],SubDistrict-Delhi Govt-Public [A],SubDistrict-Delhi Govt-Private [B],SubDistrict-Delhi Govt-Urban [C],SubDistrict-Delhi Govt-Rural [D],SubDistrict-ESI-Total [(A+B) or (C+D)],SubDistrict-ESI-Public [A],SubDistrict-ESI-Private [B],SubDistrict-ESI-Urban [C],SubDistrict-ESI-Rural [D],SubDistrict-IPP VIII-MCD-Total [(A+B) or (C+D)],SubDistrict-IPP VIII-MCD-Public [A],SubDistrict-IPP VIII-MCD-Private [B],SubDistrict-IPP VIII-MCD-Urban [C],SubDistrict-IPP VIII-MCD-Rural [D],SubDistrict-MCW Centres MCD-Total [(A+B) or (C+D)],SubDistrict-MCW Centres MCD-Public [A],SubDistrict-MCW Centres MCD-Private [B],SubDistrict-MCW Centres MCD-Urban [C],SubDistrict-MCW Centres MCD-Rural [D],SubDistrict-Private-Total [(A+B) or (C+D)],SubDistrict-Private-Public [A],SubDistrict-Private-Private [B],SubDistrict-Private-Urban [C],SubDistrict-Private-Rural [D],Month,Year
M4 [Pregnancy outcome & details of new-born],4.1.3,Still Birth,TOTAL,9,6,3,4,5,0,0,NA,NA,0,0,0,NA,0,NA,4,4,NA,0,4,0,0,NA,0,NA,0,0,NA,0,NA,2,2,NA,2,NA,3,NA,3,2,1,October,2018
M4 [Pregnancy outcome & details of new-born],4.2,Abortion (spontaneous),TOTAL,91,39,52,49,42,8,8,NA,NA,8,0,0,NA,0,NA,29,29,NA,0,29,0,0,NA,0,NA,2,2,NA,2,NA,0,0,NA,0,NA,52,NA,52,47,5,October,2018
M4 [Pregnancy outcome & details of new-born],4.3.1.a,MTP up to 12 weeks of pregnancy,TOTAL,149,28,121,101,48,24,24,NA,NA,24,0,0,NA,0,NA,4,4,NA,NA,4,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,121,101,20,October,2018
M4 [Pregnancy outcome & details of new-born],4.3.1.b,MTP more than 12 weeks of pregnancy,TOTAL,15,10,5,1,14,10,10,NA,NA,10,0,0,NA,0,NA,0,0,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,1,4,October,2018
M4 [Pregnancy outcome & details of new-born],4.3.2.a,Post Abortion/ MTP Complications Identified,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,October,2018
M4 [Pregnancy outcome & details of new-born],4.3.2.b,Post Abortion/ MTP Complications Treated,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,October,2018
M4 [Pregnancy outcome & details of new-born],4.3.3,Number of women provided with post abortion/ MTP contraception,TOTAL,71,47,24,24,47,14,14,NA,NA,14,0,0,NA,0,NA,33,33,NA,NA,33,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,24,24,0,October,2018
M4 [Pregnancy outcome & details of new-born],4.4.1,Number of newborns weighed at birth,TOTAL,1234,735,499,429,805,226,226,NA,NA,226,0,0,NA,0,NA,468,468,NA,20,448,0,0,NA,0,NA,19,19,NA,19,NA,22,22,NA,22,NA,499,NA,499,368,131,October,2018
M4 [Pregnancy outcome & details of new-born],4.4.2,Number of newborns having weight less than 2.5 kg,TOTAL,229,167,62,42,187,59,59,NA,NA,59,0,0,NA,0,NA,105,105,NA,0,105,0,0,NA,0,NA,3,3,NA,3,NA,0,0,NA,0,NA,62,NA,62,39,23,October,2018
M4 [Pregnancy outcome & details of new-born],4.4.3,Number of Newborns breast fed within 1 hour of birth,TOTAL,961,667,294,298,663,220,220,NA,NA,220,0,0,NA,0,NA,407,407,NA,20,387,0,0,NA,0,NA,19,19,NA,19,NA,21,21,NA,21,NA,294,NA,294,238,56,October,2018
M5 [Complicated Pregnancies],5.1,"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",TOTAL,301,291,10,10,291,190,190,NA,NA,190,0,0,NA,0,NA,101,101,NA,0,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,10,10,0,October,2018
M5 [Complicated Pregnancies],5.2,Number of Complicated pregnancies treated with Blood Transfusion,TOTAL,23,21,2,2,21,4,4,NA,NA,4,NA,NA,NA,NA,NA,17,17,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,2,0,October,2018
M6 [Post Natal Care (PNC)],6.1,Women receiving 1st post partum checkup within 48 hours of home delivery,TOTAL,70,58,12,70,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,18,18,NA,18,0,NA,NA,NA,NA,NA,19,19,NA,19,NA,21,21,NA,21,NA,12,NA,12,12,0,October,2018
M6 [Post Natal Care (PNC)],6.2,Women receiving 1st post partum checkup between 48 hours and 14 days,TOTAL,580,248,332,339,241,190,190,NA,NA,190,0,0,NA,0,NA,51,51,NA,0,51,NA,NA,NA,NA,NA,0,0,NA,0,NA,7,7,NA,7,NA,332,NA,332,332,0,October,2018
M6 [Post Natal Care (PNC)],6.3,Number of mothers provided full course of 180 IFA tablets after delivery,TOTAL,847,566,281,395,452,NA,NA,NA,NA,NA,0,0,NA,0,NA,452,452,NA,0,452,NA,NA,NA,NA,NA,17,17,NA,17,NA,97,97,NA,97,NA,281,NA,281,281,0,October,2018
M6 [Post Natal Care (PNC)],6.4,Number of mothers provided 360 Calcium tablets after delivery,TOTAL,868,587,281,416,452,NA,NA,NA,NA,NA,0,0,NA,0,NA,473,473,NA,21,452,NA,NA,NA,NA,NA,17,17,NA,17,NA,97,97,NA,97,NA,281,NA,281,281,0,October,2018
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.1,New RTI/STI cases identified - Male,TOTAL,115,115,0,91,24,2,2,NA,NA,2,2,2,NA,2,NA,24,24,NA,24,NA,0,0,NA,0,NA,6,6,NA,6,NA,81,81,NA,59,22,0,NA,0,0,0,October,2018
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.2,New RTI/STI cases identified - Female,TOTAL,332,328,4,228,104,22,22,NA,NA,22,4,4,NA,4,NA,84,84,NA,84,NA,0,0,NA,0,NA,15,15,NA,15,NA,203,203,NA,121,82,4,NA,4,4,0,October,2018
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.1,RTI/STI for which treatment initiated - Male,TOTAL,106,106,0,84,22,0,0,NA,NA,0,0,0,NA,0,NA,19,19,NA,19,NA,0,0,NA,0,NA,6,6,NA,6,NA,81,81,NA,59,22,0,NA,0,0,0,October,2018
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.2,RTI/STI for which treatment initiated -Female,TOTAL,314,310,4,210,104,22,22,NA,NA,22,2,2,NA,2,NA,68,68,NA,68,NA,0,0,NA,0,NA,15,15,NA,15,NA,203,203,NA,121,82,4,NA,4,4,0,October,2018
M8 [Family Planning],8.1.1,Number of Non Scalpel Vasectomy (NSV) / Conventional Vasectomy conducted,TOTAL,4,4,0,0,4,1,1,NA,NA,1,0,0,NA,0,NA,3,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,October,2018
M8 [Family Planning],8.2.1,Number of Laparoscopic sterilizations (excluding post abortion) conducted,TOTAL,7,6,1,0,7,6,6,NA,NA,6,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1,October,2018
M8 [Family Planning],8.2.2,Number of Interval Mini-lap (other than post-partum and post abortion) sterilizations conducted,TOTAL,1,1,0,0,1,0,0,NA,NA,0,0,0,NA,0,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,October,2018
M8 [Family Planning],8.2.3,Number of Postpartum sterilizations (within 7 days of delivery by minilap or concurrent with caesarean section) conducted,TOTAL,11,6,5,2,9,6,6,NA,NA,6,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,2,3,October,2018
M8 [Family Planning],8.2.4,Number of Post Abortion sterilizations (within 7 days of spontaneous or surgical abortion) conducted,TOTAL,15,15,0,0,15,13,13,NA,NA,13,0,0,NA,0,NA,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,October,2018
M8 [Family Planning],8.3,Number of Interval IUCD Insertions (excluding PPIUCD and PAIUCD),TOTAL,185,156,29,76,109,26,26,NA,NA,26,0,0,NA,0,NA,61,61,NA,46,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,69,NA,15,54,29,NA,29,15,14,October,2018
M8 [Family Planning],8.4,Number of Postpartum (within 48 hours of delivery) IUCD insertions,TOTAL,134,134,0,0,134,90,90,NA,NA,90,0,0,NA,0,NA,44,44,NA,0,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,October,2018
M8 [Family Planning],8.5,Number of Post Abortion (within 12 days of spontaneous or surgical abortion) IUCD insertions,TOTAL,21,20,1,4,17,13,13,NA,NA,13,0,0,NA,0,NA,4,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,3,NA,1,NA,1,1,0,October,2018
M8 [Family Planning],8.6,Number of IUCD Removals,TOTAL,70,52,18,22,48,15,15,NA,NA,15,0,0,NA,0,NA,21,21,NA,8,13,0,0,NA,0,NA,NA,NA,NA,NA,NA,16,16,NA,1,15,18,NA,18,13,5,October,2018
M8 [Family Planning],8.7,Number of complications following IUCD Insertion,TOTAL,13,13,0,13,0,0,0,NA,NA,0,3,3,NA,3,NA,10,10,NA,10,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,October,2018
M8 [Family Planning],8.8,Injectable Contraceptive-Antara Program- First Dose,TOTAL,87,86,1,46,41,3,3,NA,NA,3,0,0,NA,0,NA,41,41,NA,39,2,0,0,NA,0,NA,4,4,NA,4,NA,38,38,NA,2,36,1,NA,1,1,0,October,2018
M8 [Family Planning],8.9,Injectable Contraceptive-Antara Program- Second Dose,TOTAL,43,42,1,12,31,4,4,NA,NA,4,0,0,NA,0,NA,9,9,NA,9,0,0,0,NA,0,NA,1,1,NA,1,NA,28,28,NA,1,27,1,NA,1,1,0,October,2018
M8 [Family Planning],8.1,Injectable Contraceptive-Antara Program- Third Dose,TOTAL,3,2,1,1,2,0,0,NA,NA,0,0,0,NA,0,NA,2,2,NA,0,2,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,1,NA,1,1,0,October,2018
M8 [Family Planning],8.11,Injectable Contraceptive-Antara Program- Fourth or more than fourth,TOTAL,2,2,0,0,2,1,1,NA,NA,1,0,0,NA,0,NA,1,1,NA,0,1,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,0,October,2018
M8 [Family Planning],8.12,Number of Combined Oral Pill cycles distributed,TOTAL,899,895,4,744,155,48,48,NA,NA,48,9,9,NA,9,NA,389,389,NA,300,89,5,5,NA,5,NA,174,174,NA,174,NA,270,270,NA,252,18,4,NA,4,4,0,October,2018
M8 [Family Planning],8.13,Number of Condom pieces distributed,TOTAL,55285,55267,18,42905,12380,6000,6000,NA,NA,6000,3075,3075,NA,3075,NA,23435,23435,NA,20435,3000,1900,1900,NA,1900,NA,4372,4372,NA,4372,NA,16485,16485,NA,13105,3380,18,NA,18,18,0,October,2018
M8 [Family Planning],8.14,Number of Centchroman (weekly) pill strips distributed,TOTAL,195,195,0,179,16,0,0,NA,NA,0,0,0,NA,0,NA,109,109,NA,99,10,1,1,NA,1,NA,50,50,NA,50,NA,35,35,NA,29,6,0,NA,0,0,0,October,2018
M8 [Family Planning],8.15,Number of Emergency Contraceptive Pills (ECP) given,TOTAL,214,210,4,165,49,0,0,NA,NA,0,1,1,NA,1,NA,76,76,NA,66,10,7,7,NA,7,NA,28,28,NA,28,NA,98,98,NA,59,39,4,NA,4,4,0,October,2018
M8 [Family Planning],8.16,Number of Pregnancy Test Kits (PTK) used,TOTAL,1902,1774,128,1520,382,0,0,NA,NA,0,0,0,NA,0,NA,1206,1206,NA,921,285,0,0,NA,0,NA,68,68,NA,68,NA,500,500,NA,418,82,128,NA,128,113,15,October,2018
M8 [Family Planning],8.17.1,Complications following male sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,October,2018
M8 [Family Planning],8.17.2,Complications following female sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,October,2018
M8 [Family Planning],8.17.3,Failures following male sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,October,2018
M8 [Family Planning],8.17.4,Failures following female sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,October,2018
M8 [Family Planning],8.17.5,Deaths following male sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,October,2018
M8 [Family Planning],8.17.6,Deaths following female sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,October,2018
M9 [CHILD IMMUNISATION],9.1.1,Child immunisation - Vitamin K1 (Birth Dose),TOTAL,828,448,380,380,448,NA,NA,NA,NA,NA,0,0,NA,0,NA,448,448,NA,0,448,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,380,NA,380,380,0,October,2018
M9 [CHILD IMMUNISATION],9.1.2,Child immunisation - BCG,TOTAL,1402,911,491,511,891,234,234,NA,NA,234,0,0,NA,0,NA,550,550,NA,80,470,0,0,NA,0,NA,26,26,NA,26,NA,101,101,NA,45,56,491,NA,491,360,131,October,2018
M9 [CHILD IMMUNISATION],9.1.3,Child immunisation - DPT1,TOTAL,129,9,120,113,16,1,1,NA,NA,1,1,1,NA,1,NA,4,4,NA,2,2,1,1,NA,1,NA,0,0,NA,0,NA,2,2,NA,2,0,120,NA,120,107,13,October,2018
M9 [CHILD IMMUNISATION],9.1.4,Child immunisation - DPT2,TOTAL,71,11,60,65,6,0,0,NA,NA,0,2,2,NA,2,NA,5,5,NA,5,0,3,3,NA,3,NA,1,1,NA,1,NA,0,0,NA,0,0,60,NA,60,54,6,October,2018
M9 [CHILD IMMUNISATION],9.1.5,Child immunisation - DPT3,TOTAL,56,6,50,50,6,0,0,NA,NA,0,0,0,NA,0,NA,1,1,NA,0,1,1,1,NA,1,NA,0,0,NA,0,NA,4,4,NA,1,3,50,NA,50,48,2,October,2018
M9 [CHILD IMMUNISATION],9.1.6,Child immunisation - Pentavalent 1,TOTAL,1921,1725,196,1325,596,157,157,NA,NA,157,27,27,NA,27,NA,851,851,NA,680,171,5,5,NA,5,NA,98,98,NA,98,NA,587,587,NA,372,215,196,NA,196,143,53,October,2018
M9 [CHILD IMMUNISATION],9.1.7,Child immunisation - Pentavalent 2,TOTAL,1541,1434,107,1185,356,105,105,NA,NA,105,35,35,NA,35,NA,708,708,NA,618,90,6,6,NA,6,NA,67,67,NA,67,NA,513,513,NA,378,135,107,NA,107,81,26,October,2018
M9 [CHILD IMMUNISATION],9.1.8,Child immunisation - Pentavalent 3,TOTAL,1262,1173,89,987,275,77,77,NA,NA,77,26,26,NA,26,NA,611,611,NA,532,79,7,7,NA,7,NA,66,66,NA,66,NA,386,386,NA,283,103,89,NA,89,73,16,October,2018
M9 [CHILD IMMUNISATION],9.1.9,Child immunisation - OPV 0 (Birth Dose),TOTAL,1261,774,487,393,868,234,234,NA,NA,234,0,0,NA,0,NA,475,475,NA,5,470,1,1,NA,1,NA,16,16,NA,16,NA,48,48,NA,15,33,487,NA,487,356,131,October,2018
M9 [CHILD IMMUNISATION],9.1.10,Child immunisation - OPV1,TOTAL,1820,1729,91,1262,558,158,158,NA,NA,158,27,27,NA,27,NA,852,852,NA,680,172,5,5,NA,5,NA,98,98,NA,98,NA,589,589,NA,374,215,91,NA,91,78,13,October,2018
M9 [CHILD IMMUNISATION],9.1.11,Child immunisation - OPV2,TOTAL,1507,1436,71,1171,336,105,105,NA,NA,105,35,35,NA,35,NA,712,712,NA,622,90,6,6,NA,6,NA,68,68,NA,68,NA,510,510,NA,375,135,71,NA,71,65,6,October,2018
M9 [CHILD IMMUNISATION],9.1.12,Child immunisation - OPV3,TOTAL,1236,1179,57,970,266,77,77,NA,NA,77,26,26,NA,26,NA,613,613,NA,532,81,5,5,NA,5,NA,66,66,NA,66,NA,392,392,NA,286,106,57,NA,57,55,2,October,2018
M9 [CHILD IMMUNISATION],9.1.13,Child immunisation - Hepatitis-B0 (Birth Dose),TOTAL,1045,704,341,365,680,234,234,NA,NA,234,0,0,NA,0,NA,411,411,NA,1,410,0,0,NA,0,NA,11,11,NA,11,NA,48,48,NA,24,24,341,NA,341,329,12,October,2018
M9 [CHILD IMMUNISATION],9.1.14,Child immunisation - Hepatitis-B1,TOTAL,71,0,71,71,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,71,NA,71,71,0,October,2018
M9 [CHILD IMMUNISATION],9.1.15,Child immunisation - Hepatitis-B2,TOTAL,43,0,43,42,1,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,43,NA,43,42,1,October,2018
M9 [CHILD IMMUNISATION],9.1.16,Child immunisation - Hepatitis-B3,TOTAL,61,32,29,53,8,0,0,NA,NA,0,0,0,NA,0,NA,31,31,NA,31,0,0,0,NA,0,NA,0,0,NA,0,NA,1,1,NA,1,0,29,NA,29,21,8,October,2018
M9 [CHILD IMMUNISATION],9.1.17,Child immunisation - Inactivated Polio Vaccine 1 (IPV 1),TOTAL,1699,1606,93,1100,599,159,159,NA,NA,159,15,15,NA,15,NA,777,777,NA,605,172,4,4,NA,4,NA,75,75,NA,75,NA,576,576,NA,361,215,93,NA,93,40,53,October,2018
M9 [CHILD IMMUNISATION],9.1.18,Child immunisation - Inactivated Polio Vaccine 2 (IPV 2),TOTAL,1203,1094,109,921,282,79,79,NA,NA,79,22,22,NA,22,NA,534,534,NA,457,77,4,4,NA,4,NA,83,83,NA,83,NA,372,372,NA,272,100,109,NA,109,83,26,October,2018
M9 [CHILD IMMUNISATION],9.1.19,Child immunisation - Rotavirus 1,TOTAL,133,7,126,78,55,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,7,7,NA,7,NA,0,0,NA,0,0,126,NA,126,71,55,October,2018
M9 [CHILD IMMUNISATION],9.1.20,Child immunisation - Rotavirus 2,TOTAL,103,0,103,75,28,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,103,NA,103,75,28,October,2018
M9 [CHILD IMMUNISATION],9.1.21,Child immunisation - Rotavirus 3,TOTAL,79,0,79,61,18,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,79,NA,79,61,18,October,2018
M9 [CHILD IMMUNISATION],9.2.1,Child immunisation (9-11months) - Measles & Rubella (MR)- 1st Dose,TOTAL,1556,1531,25,1170,386,84,84,NA,NA,84,24,24,NA,24,NA,793,793,NA,693,100,23,23,NA,23,NA,73,73,NA,73,NA,534,534,NA,332,202,25,NA,25,25,0,October,2018
M9 [CHILD IMMUNISATION],9.2.2,Child immunisation (9-11months) - Measles 1st dose,TOTAL,151,106,45,151,0,0,0,NA,NA,0,0,0,NA,0,NA,24,24,NA,24,0,0,0,NA,0,NA,0,0,NA,0,NA,82,82,NA,82,NA,45,NA,45,45,0,October,2018
M9 [CHILD IMMUNISATION],9.2.3,Child immunisation (9-11months) - JE 1st dose,TOTAL,8,0,8,0,8,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,8,NA,8,0,8,October,2018
M9 [CHILD IMMUNISATION],9.2.4.a,Children aged between 9 and 11 months fully immunized- Male,TOTAL,828,756,72,640,188,13,13,NA,NA,13,12,12,NA,12,NA,407,407,NA,358,49,5,5,NA,5,NA,41,41,NA,41,NA,278,278,NA,174,104,72,NA,72,50,22,October,2018
M9 [CHILD IMMUNISATION],9.2.4.b,Children aged between 9 and 11 months fully immunized - Female,TOTAL,799,741,58,629,170,12,12,NA,NA,12,10,10,NA,10,NA,409,409,NA,358,51,18,18,NA,18,NA,32,32,NA,32,NA,260,260,NA,171,89,58,NA,58,40,18,October,2018
M9 [CHILD IMMUNISATION],9.3.1,Child immunisation - Measles & Rubella (MR)- 1st Dose,TOTAL,32,30,2,28,4,0,0,NA,NA,0,24,24,NA,24,NA,2,2,NA,2,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,4,4,NA,0,4,2,NA,2,2,0,October,2018
M9 [CHILD IMMUNISATION],9.3.2,Child immunisation - Measles-1st dose,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,NA,0,NA,0,0,0,October,2018
M9 [CHILD IMMUNISATION],9.3.3,Child immunisation - JE 1st dose,TOTAL,8,0,8,0,8,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,NA,8,NA,8,0,8,October,2018
M9 [CHILD IMMUNISATION],9.4.1,Child immunisation - Measles & Rubella (MR)- 2nd Dose (16-24 months),TOTAL,16,14,2,16,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,14,14,NA,14,0,2,NA,2,2,0,October,2018
M9 [CHILD IMMUNISATION],9.4.2,Child immunisation - Measles 2nd dose (More than 16 months),TOTAL,44,0,44,44,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,NA,44,NA,44,44,0,October,2018
M9 [CHILD IMMUNISATION],9.4.3,Child immunisation - DPT 1st Booster,TOTAL,1359,1280,79,1134,225,53,53,NA,NA,53,19,19,NA,19,NA,639,639,NA,574,65,7,7,NA,7,NA,70,70,NA,70,NA,492,492,NA,388,104,79,NA,79,76,3,October,2018
M9 [CHILD IMMUNISATION],9.4.4,Child immunisation - OPV Booster,TOTAL,1394,1339,55,1128,266,94,94,NA,NA,94,19,19,NA,19,NA,658,658,NA,593,65,6,6,NA,6,NA,70,70,NA,70,NA,492,492,NA,388,104,55,NA,55,52,3,October,2018
M9 [CHILD IMMUNISATION],9.4.5,"Child immunisation - Measles, Mumps, Rubella (MMR) Vaccine",TOTAL,1379,1228,151,1069,310,70,70,NA,NA,70,13,13,NA,13,NA,586,586,NA,516,70,0,0,NA,0,NA,72,72,NA,72,NA,487,487,NA,384,103,151,NA,151,84,67,October,2018
M9 [CHILD IMMUNISATION],9.4.6,Number of children more than 16 months of age who received Japanese Encephalitis (JE) vaccine,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,October,2018
M9 [CHILD IMMUNISATION],9.5.1,Child immunisation - Typhoid,TOTAL,1945,1796,149,1587,358,87,87,NA,NA,87,36,36,NA,36,NA,897,897,NA,816,81,5,5,NA,5,NA,104,104,NA,104,NA,667,667,NA,521,146,149,NA,149,105,44,October,2018
M9 [CHILD IMMUNISATION],9.5.2,Children more than 5 years received DPT5 (2nd Booster),TOTAL,1010,958,52,797,213,68,68,NA,NA,68,27,27,NA,27,NA,448,448,NA,406,42,2,2,NA,2,NA,47,47,NA,47,NA,366,366,NA,278,88,52,NA,52,37,15,October,2018
M9 [CHILD IMMUNISATION],9.5.3,Children more than 10 years received TT10,TOTAL,325,294,31,231,94,34,34,NA,NA,34,15,15,NA,15,NA,159,159,NA,112,47,10,10,NA,10,NA,16,16,NA,16,NA,60,60,NA,47,13,31,NA,31,31,0,October,2018
M9 [CHILD IMMUNISATION],9.5.4,Children more than 16 years received TT16,TOTAL,154,147,7,137,17,2,2,NA,NA,2,41,41,NA,41,NA,60,60,NA,48,12,13,13,NA,13,NA,19,19,NA,19,NA,12,12,NA,9,3,7,NA,7,7,0,October,2018
M9 [CHILD IMMUNISATION],9.6.1,Number of cases of AEFI - Abscess,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,October,2018
M9 [CHILD IMMUNISATION],9.6.2,Number of cases of AEFI - Death,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,October,2018
M9 [CHILD IMMUNISATION],9.6.3,Number of cases of AEFI - Others,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,0,October,2018
M9 [CHILD IMMUNISATION],9.7.1,Immunisation sessions planned,TOTAL,551,492,59,489,62,8,8,NA,NA,8,20,20,NA,20,NA,215,215,NA,189,26,5,5,NA,5,NA,43,43,NA,43,NA,201,201,NA,173,28,59,NA,59,59,0,October,2018
